token	corpus size	all contexts size	frequency	co-frequency	specificity
grzech	377948	13783	330	98	58.94
pierworodny	377948	13783	29	28	38.83
jest	377948	13783	2310	223	37.80
ciężki	377948	13783	38	31	37.61
grzechu	377948	13783	397	82	36.57
Dzieje	377948	13783	42	30	33.31
pierworodnego	377948	13783	22	22	31.64
głównych	377948	13783	25	23	30.64
śmiertelny	377948	13783	32	24	27.63
SXVI	377948	13783	25	21	26.17
„	377948	13783	1319	132	24.21
–	377948	13783	837	99	23.60
ciężkim	377948	13783	26	19	21.62
”	377948	13783	1332	123	19.78
Dziejów	377948	13783	13	13	18.70
Kościoła	377948	13783	134	34	18.66
powszedni	377948	13783	17	14	17.35
jako	377948	13783	430	58	16.82
ciężkiego	377948	13783	15	13	16.71
nienawidzi	377948	13783	16	13	16.00
lekki	377948	13783	26	15	14.86
europejskiej	377948	13783	18	13	14.85
SW	377948	13783	19	13	14.36
grzechy	377948	13783	120	27	13.61
nieczystości	377948	13783	16	11	12.26
SWil	377948	13783	10	9	11.96
kulturze	377948	13783	26	13	11.89
także	377948	13783	227	34	11.51
Boga	377948	13783	294	39	11.40
Kościół	377948	13783	107	23	11.28
Stefana	377948	13783	15	10	10.99
SJPDor	377948	13783	16	10	10.58
powszednie	377948	13783	9	8	10.57
lekkich	377948	13783	9	8	10.57
lub	377948	13783	300	37	9.95
główne	377948	13783	10	8	9.88
Grzech	377948	13783	118	22	9.57
śmiertelnym	377948	13783	11	8	9.34
nieczysty	377948	13783	11	8	9.34
innych	377948	13783	111	21	9.29
konsekwencje	377948	13783	20	10	9.28
znaczeniu	377948	13783	20	10	9.28
są	377948	13783	488	48	9.23
edytuj	377948	13783	32	12	9.23
antykoncepcja	377948	13783	8	7	9.18
brzydki	377948	13783	8	7	9.18
przeciw	377948	13783	47	14	9.13
spowiedzi	377948	13783	56	15	9.02
chrześcijańskiej	377948	13783	21	10	9.01
sztuce	377948	13783	27	11	8.96
człowieka	377948	13783	255	32	8.92
Czy	377948	13783	345	38	8.81
oznacza	377948	13783	35	12	8.71
pomstę	377948	13783	6	6	8.63
Żeromskiego	377948	13783	36	12	8.55
lekkim	377948	13783	13	8	8.48
grzechów	377948	13783	104	19	8.22
ciężaru	377948	13783	10	7	8.04
osłabia	377948	13783	10	7	8.04
siedem	377948	13783	15	8	7.81
Bogiem	377948	13783	79	16	7.69
śmiertelnego	377948	13783	11	7	7.61
komentarzami	377948	13783	28	10	7.55
za	377948	13783	1150	79	7.26
Pojęcie	377948	13783	8	6	7.21
