     41 miłość	platoniczna
     17 miłości	platonicznej
     11 platoniczna	może
     10 drugiej	osoby
      9 w	świetle
      9 może	być
      8 duchowego	wzrostu
      7 platoniczna	w
      6 świetle	wiary
      6 prowadzić	do
      6 chrześcijańskiego	personalizmu
      6 2025	więcejwięcej
      5 w	sobie
      5 w	kontekście
      5 o	dobro
      5 miłość	platoniczną
      5 który	jest
      5 jest	grzechem
      5 form	miłości
      5 dobro	drugiej
      4 źródłem	wszelkiej
      4 z	bogiem
      4 wzajemnym	szacunku
      4 wiary	od
      4 uczuć	i
